Fuel_consumption,Throttle_position_signal,Intake_air_pressure,Engine_speed,Flywheel_torque_(after_torque_interventions),Calculated_LOAD_value,Torque_converter_speed,Torque_converter_turbine_speed_-_Unfiltered,Steering_wheel_angle,Transmission_oil_temperature
268.8,5.2,33,929,-5.9,23.9,939.3,935.5,-3.4,87
243.2,6.1,40,726,1.7,30.6,710,709.5,-3.6,87
217.6,5.2,41,685,-3,31.8,663.3,663.5,-3.6,87
204.8,4.7,38,675,-1.3,29,652.5,653,-3.6,87
217.6,5.7,40,716,-15.6,30.2,692.5,693.8,-3.5,87
243.2,5.7,41,740,-16.9,31.4,721.5,721.5,-3.4,87
217.6,5.7,42,682,-10.8,31.8,660.8,660.8,-3.6,87
294.4,6.6,52,670,1.3,41.2,439.3,442,-1.6,87
332.8,7.1,60,655,8.5,49,0,0,7.9,87
358.4,7.1,65,648,12.2,54.1,0.8,1.3,7.7,87
409.6,7.5,69,659,7.2,58,111,112.3,5.9,86
435.2,7.1,69,663,9.4,58,186.8,187.8,4.8,86
384,7.1,66,659,10.5,55.7,215,216,-7.3,86
396.8,7.5,66,668,16,55.3,253,254.3,-7.3,86
473.6,8.5,71,742,14.3,59.2,325.8,326.8,-7.3,86
473.6,8.5,70,759,13.1,58.8,362.5,363.5,-4.8,86
473.6,8.5,70,761,11.8,58.8,404.5,405.5,0.8,86
473.6,8.5,70,766,11.7,58.8,449.3,450,0.6,86
473.6,8.5,70,769,12.6,58.8,474.8,475.5,0.5,86
473.6,8.5,69,768,12.1,58.4,491.3,491.8,0.7,86
486.4,8.5,70,767,11.9,58.4,477.8,478,0.4,86
473.6,8.5,70,770,12.1,58.8,437.8,438,0.5,86
486.4,8.5,71,768,13.6,59.6,431.8,431.5,0.5,86
473.6,8.5,71,765,10,59.6,276,273.8,0.2,86
448,7.5,69,724,8.1,58,35.5,35,0.5,86
384,6.1,64,673,0,54.1,382.3,390.8,0.3,86
307.2,6.1,57,658,2.2,46.3,636.3,636.8,0.2,86
307.2,6.6,57,658,2,46.7,635.8,636.5,0.5,86
396.8,7.5,68,673,12.7,56.9,315,311,84.6,86
435.2,8,70,726,13.2,58.4,281.3,284,-88,86
460.8,8,70,747,12.8,58.8,411.5,412.5,-86.2,86
460.8,8,69,758,11.3,58,421.8,422.8,-274,86
448,8,69,763,11.8,57.6,533.5,535.3,-347.8,86
486.4,9.4,70,796,40.4,59.2,613.5,614.8,-385.9,86
588.8,8.5,69,978,7.6,58.8,762.5,764.5,-427.5,86
486.4,8.9,65,891,35.2,54.5,788.5,789,-400.8,86
550.4,7.5,59,1029,8,49.8,867,867.8,-294.3,86
422.4,8,58,854,23.2,47.5,813.8,813.8,-313.4,86
524.8,8.5,63,975,19.6,52.9,827.5,828.5,-262.3,86
512,8.9,62,999,22.9,51.8,867,868.3,-333.8,86
524.8,8.9,60,1064,28,49,946.8,948,-378.8,86
742.4,11.3,67,1277,32.7,56.1,1090,1093,-323.6,86
832,11.3,64,1453,27,51.4,1330.3,1333,-198,86
844.8,11.3,59,1643,21,45.1,1549.5,1552.3,-113.6,86
627.2,8,43,1610,-9.8,31.8,1594.5,1592.5,-63.5,86
409.6,8.5,45,1112,27.7,34.5,1111.5,1108.5,-50.5,86
960,13.2,65,1666,34.3,52.2,1561.3,1569.5,-43.7,86
1190.4,15,69,1786,56.3,55.3,1589.8,1585.8,-34,86
1254.4,15,75,1692,33.8,63.9,1466.8,1469.3,-21.4,86
896,11.3,55,1717,19,43.5,1632.8,1634.3,-12.5,86
627.2,8.5,42,1664,-10.7,31,1670.8,1671,-3.9,86
460.8,7.5,37,1466,-13.5,26.7,1594.3,1593.8,9.4,86
921.6,14.1,59,1634,62.4,47.5,1580.8,1581.8,-6.8,86
1753.6,20.7,84,2011,63.4,70.2,1805,1809,5.1,86
1228.8,11.8,60,2072,-10.2,45.1,2031.5,2031.8,-0.5,87
537.6,8,41,1450,-1.8,31,1493.3,1488,4,87
512,8,44,1306,-5.5,33.7,1340,1340.3,24.6,87
486.4,8,44,1262,-6.3,32.9,1319.5,1320,10.9,87
460.8,7.5,44,1206,-7.3,32.9,1288.3,1288,-12,87
435.2,7.5,44,1138,-4.5,33.7,1238.5,1238.8,24.4,87
435.2,7.5,46,1080,-3,35.3,1176,1176,96.2,87
537.6,9.4,53,1169,40.8,42,1129.3,1129.3,164.9,87
1100.8,16.9,78,1507,67,67.1,1110.5,1111,214.5,87
1792,58.7,96,1766,82.1,89.4,1153.3,1154.5,116.3,87
2073.6,100,99,1858,85,92.9,1225.5,1227,56.7,87
2176,100,99,1898,86.7,92.9,1312.3,1313.5,20.3,87
2252.8,100,99,1956,87.3,93.3,1403.3,1404.5,3.3,87
2316.8,100,99,2010,89.8,94.5,1493.5,1495,-2.3,87
2393.6,100,99,2076,85.9,93.3,1590.5,1592.3,0.3,87
2483.2,100,99,2129,83.8,91,1679.3,1680.5,1.9,87
2534.4,93.4,99,2180,80,89.4,1764.5,1766,9,87
1600,16,69,2028,17.9,58.8,1826.8,1827.8,10,87
742.4,9.9,45,1830,15.6,34.1,1776.5,1776.3,9.1,87
819.2,11.3,52,1797,24.8,39.6,1715.3,1715.5,0,87
857.6,11.3,54,1776,24.9,41.6,1689,1689,8.8,87
1049.6,14.6,64,1824,70.4,51.4,1685.8,1686.8,22,87
1920,29.6,91,2035,81,80.4,1762.8,1764.5,43,87
2457.6,75.1,97,2212,52.9,88.2,1899.3,1901,7.5,87
793.6,7.5,37,1886,-1.1,27.8,1883.5,1879,-21.4,87
985.6,14.1,72,1464,11.9,57.6,1333.3,1331.8,-65,87
755.2,10.8,67,1245,45.5,53.7,1182.8,1184.5,-93.5,87
1536,24.9,88,1803,79.4,77.6,1448.3,1449.8,-39.9,87
2124.8,78.9,98,1965,59.3,91.8,1481.3,1482,10.5,87
1075.2,12.7,64,1645,58.3,53.3,1472,1472.3,7.3,87
1907.2,55.4,95,1897,84.4,83.9,1459.3,1460,7,87
1625.6,35.7,77,1813,27.8,69,1470,1470,3.3,87
832,12.7,61,1536,64.2,47.5,1378.8,1378.5,-8,87
1856,49.3,95,1842,82.6,86.3,1324.5,1325.3,-12.9,87
2227.2,100,99,1960,90.5,94.1,1370.5,1371.3,-70,87
2355.2,100,99,2045,88,94.5,1438.5,1439.8,-1.4,87
2380.8,100,99,2061,88.4,93.7,1508.5,1509.8,20.9,87
1651.2,37.6,73,1882,20.1,65.9,1556.8,1557,36.1,87
665.6,9.4,48,1518,7.8,36.5,1441.5,1439.8,14.9,87
588.8,8.9,50,1334,9.5,38.8,1268.8,1268,3,87
537.6,8.9,54,1157,15.1,42,1074.8,1072.8,17.2,87
537.6,8.9,62,996,22.4,50.6,782.3,779,15.1,87
665.6,16,77,982,69.8,67.8,554.3,557.8,38.2,87
1766.4,86.9,99,1730,85.7,92.5,1260,1267.3,91.4,87
2380.8,100,99,2146,83.6,91,1843.8,1850.3,-32.2,87
3187.2,100,99,2682,97.4,92.9,2473.3,2477.3,-20.6,87
4006.4,86.9,97,3385,79,85.9,3206.8,3212.3,-4.1,87
1651.2,11.8,51,2474,-22.4,41.6,2397,2384.5,-7.7,87
435.2,7.1,33,1450,-1.7,23.9,1471.3,1469,-2,88
460.8,8,46,1159,7.2,34.5,1124,1123.5,4.8,88
499.2,8.9,58,978,21.5,47.5,765.3,763,5.9,88
524.8,8.5,66,886,14.9,56.1,549.3,550.8,4.8,88
563.2,10.4,70,958,59.5,60.4,650.3,651,3.7,88
755.2,9.4,64,1242,15.9,55.3,754,755.5,-6.6,88
704,13.2,71,1132,63.6,61.6,803,804,-10.2,88
1152,14.1,77,1536,22.3,66.7,1082.3,1086,-55.8,88
563.2,8,53,1233,12.1,41.6,1153.5,1152.8,-170.9,88
409.6,7.1,50,997,10.5,40,957.8,955.3,-191.3,88
448,8.9,65,809,15.4,54.1,519,514.3,-136.2,88
486.4,8,71,786,12.8,60,112,111.8,-131.5,88
422.4,7.5,71,702,13.1,60,0,0,-131.2,88
